xData,yData
256.0,-503.5086374729872
257.0,-508.08611661195755
258.0,-539.2529159784317
259.0,-547.5820362567902
260.0,-510.5687864124775
261.0,-519.31022554636
262.0,24.0
263.0,-123.0
264.0,-126.0
265.0,-517.8079590201378
266.0,-282.0
267.0,-538.4521484375
268.0,-518.029335141182
269.0,-542.7964061498642
270.0,-532.9782664775848
271.0,-514.3336206674576
272.0,-536.8409097194672
273.0,-21.0
274.0,-528.044655919075
275.0,27.0
276.0,-511.93949952721596
277.0,-513.92472833395
278.0,-538.1489872932434
279.0,-514.5779266953468
280.0,-71.0
281.0,-509.4977952539921
282.0,-543.6699748039246
283.0,-522.093902528286
284.0,-157.0
285.0,-526.471409201622
286.0,-513.9136359095573
287.0,-537.3505592346191
288.0,-512.2736774384975
289.0,-515.9202888607979
290.0,-521.3847979903221
291.0,-54.0
292.0,-507.13311061263084
293.0,-553.1210005283356
294.0,-559.021782875061
295.0,-526.973569393158
296.0,-523.4839558601379
297.0,-48.0
298.0,-525.6900250911713
299.0,-514.6250814199448
300.0,-521.6985046863556
301.0,-515.3824672102928
302.0,9.0
303.0,-521.0579052567482
304.0,-506.46573305130005
305.0,-516.707769036293
306.0,-516.2040218710899
307.0,-554.2651236057281
308.0,-62.0
309.0,-516.2811100482941
310.0,-544.9859857559204
311.0,-527.4510055780411
312.0,-546.5210199356079
313.0,-529.7586500644684
314.0,-535.9969973564148
315.0,-514.5786061882973
316.0,-554.6679317951202
317.0,-536.2451314926147
318.0,-532.4163556098938
319.0,-532.0687800645828
320.0,-517.4820348620415
321.0,-529.5074254274368
322.0,-513.7473836541176
323.0,-528.0341446399689
324.0,-515.1771515607834
325.0,-522.0169946551323
326.0,36.0
327.0,-511.4225894212723
328.0,-514.3329814076424
329.0,-515.9744828939438
330.0,-216.0
331.0,-520.3478023409843
332.0,-508.5412807762623
333.0,-522.7770879864693
334.0,-553.2432913780212
335.0,-526.0173946619034
336.0,-511.55207976698875
337.0,-543.524107336998
338.0,-518.3451876044273
339.0,17.0
340.0,-526.1262863874435
341.0,-514.2090946435928
342.0,-531.4411699771881
343.0,-19.0
344.0,-511.91485449671745
345.0,-512.4684557318687
346.0,-511.6288736462593
347.0,-518.1101888418198
348.0,-530.2012354135513
349.0,-547.6619064807892
350.0,-507.25184604525566
351.0,-519.6710273623466
352.0,-84.0
353.0,-525.0080734491348
354.0,-534.8466247320175
355.0,-521.4530140161514
356.0,-19.0
357.0,-86.0
358.0,-555.9704422950745
359.0,-531.6433280706406
360.0,-517.7254021167755
361.0,-511.85685247182846
362.0,-517.767745256424
363.0,-511.3844633102417
364.0,-553.5497188568115
365.0,-520.3427731990814
366.0,-522.4518910050392
367.0,24.0
368.0,-135.0
369.0,-512.0779156684875
370.0,-516.3551330566406
371.0,-525.086522102356
372.0,-510.46943813562393
373.0,-519.8541447520256
374.0,-524.8794466257095
375.0,-526.5544474124908
376.0,-523.5388144850731
377.0,-529.7239392995834
378.0,-523.9690616726875
379.0,-517.48326420784
380.0,-525.2275258302689
381.0,-523.0007186532021
382.0,-522.1825644373894
383.0,12.0
384.0,-545.8613902330399
385.0,-509.41049456596375
386.0,-512.1880918741226
387.0,-526.9513785839081
388.0,-550.0845313072205
389.0,-544.2526966333389
390.0,-515.9892246127129
391.0,-557.0212125778198
392.0,-531.0377985239029
393.0,-518.3345973491669
394.0,-514.9839237332344
395.0,-516.9208690524101
396.0,-522.504423558712
397.0,-534.592193365097
398.0,-515.8304467797279
399.0,-3.0
400.0,-521.0692495107651
401.0,-515.4421612620354
402.0,-520.4585015773773
403.0,-511.0459007322788
404.0,-551.1714398860931
405.0,-529.78136241436
406.0,-512.8896087408066
407.0,-526.2523651123047
408.0,-507.011129707098
409.0,-525.4019379615784
410.0,-530.7187765836716
411.0,-529.0968716144562
412.0,-518.4427261352539
413.0,-513.1890013813972
414.0,-521.3880345225334
415.0,-507.97303840518
416.0,-68.0
417.0,-517.7738755941391
418.0,-522.5219935178757
419.0,-526.8253773450851
420.0,-564.9043500423431
421.0,-538.9064401388168
422.0,-512.8110781311989
423.0,-518.565371632576
424.0,-512.6514822244644
425.0,-509.24632102251053
426.0,-523.7641260027885
427.0,-535.3409379720688
428.0,-540.8276170492172
429.0,-514.9193495512009
430.0,-513.0676314234734
431.0,-522.3508909344673
432.0,-516.2041425704956
433.0,-520.2203080058098
434.0,-525.115579366684
